あいのだけ,間ノ岳,35.64611111,138.2283333,3190m,山梨県 静岡県,赤石山脈北部（白根山）,https://maps.gsi.go.jp/#15/35.64611111111111/138.22833333333332
あおそやま,青麻山,38.08472222,140.6075,799m,宮城県,奥羽山脈南部（蔵王山とその周辺）,https://maps.gsi.go.jp/#15/38.084722222222226/140.6075
あおなぎやま,青薙山,35.36972222,138.2286111,2406m,静岡県,赤石山脈南部,https://maps.gsi.go.jp/#15/35.36972222222222/138.22861111111112
あおのやま,青野山,34.46222222,131.7980556,907m,島根県,中国山地西部,https://maps.gsi.go.jp/#15/34.46222222222222/131.79805555555555
あおばやま,青葉山,35.505,135.4838889,693m,福井県,丹波高地,https://maps.gsi.go.jp/#15/35.505/135.48388888888888
あおまつばやま,青松葉山,39.6975,141.4836111,1365m,岩手県,北上高地,https://maps.gsi.go.jp/#15/39.6975/141.4836111111111
あかいしだけ,赤石岳,35.46111111,138.1572222,3121m,長野県 静岡県,赤石山脈南部,https://maps.gsi.go.jp/#15/35.461111111111116/138.15722222222223
あかいわだけ,赤岩岳,36.34333333,137.6841667,2769m,長野県,山脈南部,https://maps.gsi.go.jp/#15/36.343333333333334/137.68416666666667
あかうさぎやま,赤兎山,36.0675,136.6619444,1629m,福井県 石川県,白山山地,https://maps.gsi.go.jp/#15/36.0675/136.66194444444446
あかうしだけ,赤牛岳,36.46166667,137.6033333,2864m,富山県,山脈北部,https://maps.gsi.go.jp/#15/36.461666666666666/137.60333333333332
あかぎさん,赤城山,36.56027778,139.1933333,1828m,群馬県,那須・日光,https://maps.gsi.go.jp/#15/36.56027777777778/139.19333333333333
あかぎさん,赤城山,36.54111111,139.1772222,1674m,群馬県,那須・日光,https://maps.gsi.go.jp/#15/36.54111111111111/139.1772222222222
あかぐなやま,赤久縄山,36.14361111,138.8433333,1523m,群馬県,関東山地,https://maps.gsi.go.jp/#15/36.14361111111111/138.84333333333333
あかざわだけ,赤沢岳,36.56194444,137.6875,2678m,富山県 長野県,山脈北部,https://maps.gsi.go.jp/#15/36.56194444444444/137.6875
あかさわやま,赤沢山,36.32916667,137.6797222,2670m,長野県,山脈南部,https://maps.gsi.go.jp/#15/36.32916666666667/137.6797222222222
あかだけ,赤岳,35.97083333,138.37,2899m,長野県 山梨県,霧ヶ峰・八ヶ岳,https://maps.gsi.go.jp/#15/35.97083333333334/138.37
あかぼしやま,赤星山,33.91944444,133.4580556,1453m,愛媛県,四国山地西部（石鎚山地）,https://maps.gsi.go.jp/#15/33.919444444444444/133.45805555555555
あきはさん,秋葉山,34.98166667,137.8661111,885m,静岡県,赤石山脈南部,https://maps.gsi.go.jp/#15/34.98166666666667/137.8661111111111
あさくさだけ,浅草岳,37.34361111,139.2336111,1585m,新潟県 福島県,越後山脈,https://maps.gsi.go.jp/#15/37.343611111111116/139.2336111111111
あさひだけ,朝日岳,38.26055556,139.9222222,1871m,山形県,朝日山地,https://maps.gsi.go.jp/#15/38.260555555555555/139.92222222222222
あさひだけ,朝日岳,37.22111111,139.3397222,1624m,福島県,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.221111111111114/139.33972222222223
あさひだけ,朝日岳,36.88055556,138.9725,1945m,群馬県,越後山脈,https://maps.gsi.go.jp/#15/36.88055555555555/138.9725
あさひだけ,朝日岳,36.85972222,138.9672222,1720m,群馬県,越後山脈,https://maps.gsi.go.jp/#15/36.859722222222224/138.96722222222223
あさひだけ,朝日岳,35.87444444,138.6425,2579m,山梨県 長野県,関東山地,https://maps.gsi.go.jp/#15/35.87444444444444/138.64249999999998
あさひだけ,朝日岳,36.82666667,137.73,2418m,新潟県 富山県,山脈北部,https://maps.gsi.go.jp/#15/36.82666666666667/137.73
あさひだけ,旭岳,36.75777778,137.7458333,2867m,富山県,山脈北部,https://maps.gsi.go.jp/#15/36.757777777777775/137.7458333333333
あさひやま,朝日山,35.50777778,132.9763889,344m,島根県,島根半島,https://maps.gsi.go.jp/#15/35.507777777777775/132.9763888888889
あさまかくしやま,浅間隠山,36.45361111,138.6525,1757m,群馬県,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.453611111111115/138.6525
あさまがたけ,朝熊ヶ岳,34.46111111,136.7813889,555m,三重県,紀伊山地東部,https://maps.gsi.go.jp/#15/34.461111111111116/136.7813888888889
あさまやま,浅間山,36.40666667,138.5230556,2568m,群馬県 長野県,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.406666666666666/138.52305555555557
あざみがだけ,莇ヶ岳,34.3325,131.7777778,1004m,山口県,中国山地西部,https://maps.gsi.go.jp/#15/34.3325/131.7777777777778
あさやま,阿佐山,34.78583333,132.3813889,1218m,島根県 広島県,中国山地西部,https://maps.gsi.go.jp/#15/34.78583333333333/132.3813888888889
あさよみね,アサヨ峰,35.73166667,138.2413889,2799m,山梨県,赤石山脈北部,https://maps.gsi.go.jp/#15/35.73166666666667/138.24138888888888
あさよみね,アサヨ峰,35.73805556,138.2341667,2714m,山梨県,赤石山脈北部,https://maps.gsi.go.jp/#15/35.738055555555555/138.23416666666665
あしたかやま,愛鷹山,35.23805556,138.7938889,1504m,静岡県,富士山とその周辺,https://maps.gsi.go.jp/#15/35.238055555555555/138.7938888888889
あしべつだけ,芦別岳,43.23583333,142.2836111,1726m,北海道,夕張山地,https://maps.gsi.go.jp/#15/43.23583333333333/142.2836111111111
あずまねやま,東根山,39.5875,141.0597222,928m,岩手県,奥羽山脈中部,https://maps.gsi.go.jp/#15/39.587500000000006/141.05972222222223
あずまやさん,四阿山,36.54166667,138.4130556,2354m,長野県 群馬県,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.541666666666664/138.41305555555556
あずまやさん,四阿山,36.54916667,138.3952778,2207m,長野県,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.549166666666665/138.39527777777778
